mode,window_length_mean,window_length_median,window_length_min,window_length_max,number_of_motifs_mean,number_of_motifs_median,number_of_motifs_min,number_of_motifs_max,mean_motif_distance_or_score_mean,mean_motif_distance_or_score_median,mean_motif_distance_or_score_min,mean_motif_distance_or_score_max,median_motif_distance_mean,median_motif_distance_median,median_motif_distance_min,median_motif_distance_max,recurrence_count_mean,recurrence_count_median,recurrence_count_min,recurrence_count_max,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,time_split_stability_mean,time_split_stability_median,time_split_stability_min,time_split_stability_max,cross_regime_overlap_mean,cross_regime_overlap_median,cross_regime_overlap_min,cross_regime_overlap_max
agnostic,125.33333333333333,72.0,24,336,10.0,10.0,10,10,3.82133277978002,1.934955360558735,0.11636271718228428,19.314499243509854,3.900252289737248,1.9310464807788976,0.11609393207670304,20.017676163025147,20.0,20.0,20,20,9814.83714358991,70.23371906019747,6.505329525098205,85043.87451597955,0.6154651675485009,0.6666666666666666,0.1111111111111111,1.0,0.3638888888888889,0.4,0.0,0.6
conditioned,125.26829268292683,72.0,24,336,61.94131097560975,32.0,1,369,8.064967184072492,6.574835963471881,0.6904149296450407,23.535941611397952,7.963583449101019,6.546635451624621,0.6954921175914675,23.535941611397952,123.8826219512195,64.0,2,738,11.05812505535425,0.6314965174533427,0.005901671014726162,290.35191050125286,0.5271191095408517,0.5,0.0,1.0,0.0,0.0,0.0,0.0
