asset,frequency,mode,profile_type,count,sum,mean,median,min,max
BTCUSDT,15m,agnostic,multivariate,4,335355.7982385205,83838.94955963013,84062.09028744604,82187.74314764887,85043.87451597955
BTCUSDT,15m,agnostic,univariate,4,1074.1601003380492,268.5400250845123,232.412902652286,229.806060930714,379.52823410276324
BTCUSDT,15m,conditioned,multivariate,36,6079.915019844193,168.88652832900536,111.0762299101334,21.363120783120394,459.00558045413345
BTCUSDT,15m,conditioned,univariate,36,267.3410164350644,7.426139345418455,5.588792106602341,1.1747893863357604,20.406469059176743
BTCUSDT,1h,agnostic,multivariate,5,25412.025647074915,5082.405129414983,5058.4668301884085,4985.327334608883,5177.5752903474495
BTCUSDT,1h,agnostic,univariate,5,112.22316193394363,22.444632386788726,22.582700112834573,20.517228874377906,24.3036882346496
BTCUSDT,1h,conditioned,multivariate,45,1154.660920128692,25.659131558415375,17.86380382720381,1.1354384520091116,75.3006737260148
BTCUSDT,1h,conditioned,univariate,45,68.9857699922286,1.5330171109384132,1.2596057369373739,0.07521305326372385,5.535748009569943
ETHUSDT,15m,agnostic,multivariate,4,319502.6573277218,79875.66433193046,80211.07948129531,77751.28512078896,81329.21324434225
ETHUSDT,15m,agnostic,univariate,4,843.2757014548406,210.81892536371015,210.30750306788832,202.77917434927076,219.8815209697932
ETHUSDT,15m,conditioned,multivariate,40,5825.135044172406,145.62837610431015,112.47910577896982,0.16580121126025915,416.08475518692285
ETHUSDT,15m,conditioned,univariate,40,293.82100234925747,7.345525058731437,6.132100401446223,0.017933678813278675,21.897601815871894
ETHUSDT,1h,agnostic,multivariate,5,24260.743480641395,4852.148696128279,4852.443385841325,4825.474599050358,4891.305967010558
ETHUSDT,1h,agnostic,univariate,5,107.39068078808486,21.478136157616973,20.512279998511076,19.834901811555028,23.52218985557556
ETHUSDT,1h,conditioned,multivariate,45,767.073803271167,17.046084517137043,11.570869044400752,0.5153821762651205,57.034903867170215
ETHUSDT,1h,conditioned,univariate,45,51.32749643176794,1.1406110318170652,0.9096571728587151,0.054367528297007084,3.6473478469997644
