method_family,asset,frequency,regime_method,regime_label,count,mean,median
quantile,BTCUSDT,15m,quantile_2_rolling_30,low_vol,1180,89.10169491525424,23.0
quantile,BTCUSDT,15m,quantile_2_rolling_60,high_vol,1179,89.17726887192536,51.0
quantile,BTCUSDT,15m,quantile_2_rolling_60,low_vol,1180,89.10169491525424,23.0
quantile,BTCUSDT,15m,quantile_3_rolling_240,high_vol,1011,69.33135509396637,37.0
quantile,BTCUSDT,15m,quantile_3_rolling_240,low_vol,1109,63.20378719567178,16.0
quantile,BTCUSDT,15m,quantile_3_rolling_240,medium_vol,2089,33.55337482048827,20.0
quantile,BTCUSDT,15m,quantile_3_rolling_30,high_vol,1011,69.33135509396637,37.0
quantile,BTCUSDT,15m,quantile_3_rolling_30,low_vol,1109,63.20378719567178,16.0
quantile,BTCUSDT,15m,quantile_3_rolling_30,medium_vol,2089,33.55337482048827,20.0
quantile,BTCUSDT,15m,quantile_3_rolling_60,high_vol,1011,69.33135509396637,37.0
quantile,BTCUSDT,15m,quantile_3_rolling_60,low_vol,1109,63.20378719567178,16.0
quantile,BTCUSDT,15m,quantile_3_rolling_60,medium_vol,2089,33.55337482048827,20.0
quantile,BTCUSDT,15m,quantile_4_rolling_240,extreme_vol,862,60.98607888631091,29.0
quantile,BTCUSDT,15m,quantile_4_rolling_240,high_vol,1995,26.350877192982455,16.0
quantile,BTCUSDT,15m,quantile_4_rolling_240,low_vol,904,58.152654867256636,18.0
quantile,BTCUSDT,15m,quantile_4_rolling_240,medium_vol,2043,25.73176700930005,14.0
quantile,BTCUSDT,15m,quantile_4_rolling_30,extreme_vol,862,60.98607888631091,29.0
quantile,BTCUSDT,15m,quantile_4_rolling_30,high_vol,1995,26.350877192982455,16.0
quantile,BTCUSDT,15m,quantile_4_rolling_30,low_vol,904,58.152654867256636,18.0
quantile,BTCUSDT,15m,quantile_4_rolling_30,medium_vol,2043,25.73176700930005,14.0
quantile,BTCUSDT,15m,quantile_4_rolling_60,extreme_vol,862,60.98607888631091,29.0
quantile,BTCUSDT,15m,quantile_4_rolling_60,high_vol,1995,26.350877192982455,16.0
quantile,BTCUSDT,15m,quantile_4_rolling_60,low_vol,904,58.152654867256636,18.0
quantile,BTCUSDT,15m,quantile_4_rolling_60,medium_vol,2043,25.73176700930005,14.0
quantile,BTCUSDT,1d,quantile_2_rolling_240,high_vol,20,54.8,29.0
quantile,BTCUSDT,1d,quantile_2_rolling_240,low_vol,20,54.8,6.5
quantile,BTCUSDT,1d,quantile_2_rolling_30,high_vol,20,54.8,29.0
quantile,BTCUSDT,1d,quantile_2_rolling_30,low_vol,20,54.8,6.5
quantile,BTCUSDT,1d,quantile_2_rolling_60,high_vol,20,54.8,29.0
quantile,BTCUSDT,1d,quantile_2_rolling_60,low_vol,20,54.8,6.5
quantile,BTCUSDT,1d,quantile_3_rolling_240,high_vol,19,38.473684210526315,7.0
quantile,BTCUSDT,1d,quantile_3_rolling_240,low_vol,16,45.6875,20.0
quantile,BTCUSDT,1d,quantile_3_rolling_240,medium_vol,35,20.857142857142858,13.0
quantile,BTCUSDT,1d,quantile_3_rolling_30,high_vol,19,38.473684210526315,7.0
quantile,BTCUSDT,1d,quantile_3_rolling_30,low_vol,16,45.6875,20.0
quantile,BTCUSDT,1d,quantile_3_rolling_30,medium_vol,35,20.857142857142858,13.0
quantile,BTCUSDT,1d,quantile_3_rolling_60,high_vol,19,38.473684210526315,7.0
quantile,BTCUSDT,1d,quantile_3_rolling_60,low_vol,16,45.6875,20.0
quantile,BTCUSDT,1d,quantile_3_rolling_60,medium_vol,35,20.857142857142858,13.0
quantile,BTCUSDT,1d,quantile_4_rolling_240,extreme_vol,14,39.142857142857146,13.5
quantile,BTCUSDT,1d,quantile_4_rolling_240,high_vol,34,16.11764705882353,7.5
quantile,BTCUSDT,1d,quantile_4_rolling_240,low_vol,19,28.842105263157894,6.0
quantile,BTCUSDT,1d,quantile_4_rolling_240,medium_vol,38,14.421052631578947,6.0
quantile,BTCUSDT,1d,quantile_4_rolling_30,extreme_vol,14,39.142857142857146,13.5
quantile,BTCUSDT,1d,quantile_4_rolling_30,high_vol,34,16.11764705882353,7.5
