scope,rows,q01,q05,q10,q25,median,q75,min,max
overall,81987,0.6178534788114499,0.988842703477349,1.3701013749076119,2.5327950090251754,4.6546663231303445,7.675118724079375,0.08186115979462456,25.606804380178062
agnostic,720,0.11064811676125481,0.15849119020262786,0.37339542834965234,1.0219061129091553,1.8908302690794803,4.526443306789477,0.08186115979462456,20.645948706455417
conditioned,81267,0.6414137321151939,0.9966799160322486,1.3818493958151157,2.560934822358371,4.666110127255471,7.685617616544498,0.15923674663546197,25.606804380178062
low_vol,42609,0.582476036405815,0.9591440071851984,1.3642939194611152,2.5651983550530164,4.660983582811467,7.505686618838152,0.15923674663546197,23.90196473897108
high_vol,31644,0.703810631033882,1.0563272219263968,1.3959090912988767,2.5588077105427334,4.68577508999994,7.872059185091559,0.18948450877881706,25.606804380178062
extreme_vol,7014,0.7304040028724573,1.0486354763599512,1.3970841551747715,2.540135062163611,4.6323623034468575,7.8730903688868885,0.18948450877881706,23.735780960484487
