asset,frequency,method,mode,regime_method,regime_label,window_length,feature_set,number_of_motifs,mean_motif_distance_or_score,median_motif_distance,recurrence_count,runtime_seconds,time_split_stability,cross_regime_overlap,notes
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,32,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",267,4.544812751485371,4.622388149922011,534,287.9593817121349,0.2191780821917808,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,32,rolling_volatility_60,266,1.2863368862378048,1.125540958151758,532,3.365544955711812,0.22580645161290322,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,64,close,201,3.667147512203625,3.306580906641858,402,2.785546310711652,0.13559322033898305,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,64,log_return,206,8.120960152998453,8.197333484847729,412,2.762107552960515,0.15083798882681565,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,64,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",199,7.285363413379481,7.387802549774324,398,263.38567622751,0.13068181818181818,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,64,rolling_volatility_60,205,2.654331389227196,2.2787207589633853,410,2.9115223730914295,0.15168539325842698,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,128,close,121,5.774778856935478,5.506001306869195,242,2.121263260487467,0.11009174311926606,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,128,log_return,122,12.903508957967405,12.98293564142062,244,1.9646995579823852,0.10909090909090909,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,128,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",118,11.10776055371432,11.237102958332152,236,222.63870309712365,0.11320754716981132,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,128,rolling_volatility_60,121,4.364779914668036,4.060481947191864,242,2.1733832540921867,0.1,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,256,close,64,9.535951933173752,9.150891651260292,128,1.455182397738099,0.0847457627118644,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,256,log_return,61,19.43986402976963,19.59565094967492,122,1.2434836900793016,0.08928571428571429,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,256,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",62,16.624885209425884,16.807193479749227,124,176.2810769691132,0.08771929824561403,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,high_vol,256,rolling_volatility_60,57,8.276419601791202,7.460017815213482,114,1.457709466572851,0.09615384615384616,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,32,close,365,2.4590825690499223,2.3349439371766882,730,3.510425405576825,0.3129496402877698,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,32,log_return,369,4.779828100238692,4.864955828905795,738,3.385107639245689,0.3225806451612903,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,32,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",366,4.698114684577916,4.79575085279536,732,168.31055278377607,0.3212996389891697,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
BTCUSDT,15m,matrix_profile,conditioned,quantile_2_rolling_240,low_vol,32,rolling_volatility_60,364,1.3093079848571998,1.0991524944400668,728,3.4450856088660657,0.3236363636363636,0.0,Matrix Profile motif pairs; recurrence count treats both motif windows in each pair as occurrences.
