feature_set,window_length_mean,window_length_median,window_length_min,window_length_max,number_of_motifs_mean,number_of_motifs_median,number_of_motifs_min,number_of_motifs_max,mean_motif_distance_or_score_mean,mean_motif_distance_or_score_median,mean_motif_distance_or_score_min,mean_motif_distance_or_score_max,median_motif_distance_mean,median_motif_distance_median,median_motif_distance_min,median_motif_distance_max,recurrence_count_mean,recurrence_count_median,recurrence_count_min,recurrence_count_max,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,time_split_stability_mean,time_split_stability_median,time_split_stability_min,time_split_stability_max,cross_regime_overlap_mean,cross_regime_overlap_median,cross_regime_overlap_min,cross_regime_overlap_max
close,125.27167630057804,72.0,24,336,59.58092485549133,30.0,1,366,5.750883694861206,4.248448710222748,0.5301787914484156,19.664464546126776,5.591851020106323,4.060805185133926,0.5482573530995989,19.664464546126776,119.16184971098266,60.0,2,732,3.0592224765044094,0.412115135230124,0.006010105833411217,234.76312164217234,0.5287392806090395,0.5,0.0,1.0,0.022254335260115606,0.0,0.0,0.6
log_return,125.27167630057804,72.0,24,336,59.62138728323699,30.0,1,369,11.20991411025668,8.786247506391609,1.4369578184115173,23.535941611397952,11.263750533704332,8.76740322356925,1.4926038977999614,23.535941611397952,119.24277456647398,60.0,2,738,2.4863788921243346,0.40015795920044184,0.005901671014726162,79.88302374258637,0.5215503171295756,0.5,0.0,1.0,0.017919075144508672,0.0,0.0,0.6
"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",125.27167630057804,72.0,24,336,58.54624277456647,30.0,1,366,9.974377488271768,7.821583981292618,1.2630845035793306,22.74264409076729,10.050100204025641,7.996134011216135,1.2483068898623233,22.74264409076729,117.09248554913295,60.0,2,732,2076.1792181542633,22.106641692342237,0.16580121126025915,85043.87451597955,0.5378643256493744,0.5,0.0,1.0,0.01878612716763006,0.0,0.0,0.5
rolling_volatility_60,125.27167630057804,72.0,24,336,59.20809248554913,30.0,1,366,4.441625011949276,2.754729989236471,0.11636271718228428,15.075075640099776,4.103083358006533,2.5226850284816402,0.11609393207670304,15.075075640099776,118.41618497109826,60.0,2,732,2.600424439819917,0.42194147128611803,0.006021901965141296,79.98537603765726,0.5387066655746972,0.5,0.0,1.0,0.01676300578034682,0.0,0.0,0.5
