regime_label,window_length_mean,window_length_median,window_length_min,window_length_max,number_of_motifs_mean,number_of_motifs_median,number_of_motifs_min,number_of_motifs_max,mean_motif_distance_or_score_mean,mean_motif_distance_or_score_median,mean_motif_distance_or_score_min,mean_motif_distance_or_score_max,median_motif_distance_mean,median_motif_distance_median,median_motif_distance_min,median_motif_distance_max,recurrence_count_mean,recurrence_count_median,recurrence_count_min,recurrence_count_max,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,time_split_stability_mean,time_split_stability_median,time_split_stability_min,time_split_stability_max,cross_regime_overlap_mean,cross_regime_overlap_median,cross_regime_overlap_min,cross_regime_overlap_max
all,125.33333333333333,72.0,24,336,10.0,10.0,10,10,3.82133277978002,1.934955360558735,0.11636271718228428,19.314499243509854,3.900252289737248,1.9310464807788976,0.11609393207670304,20.017676163025147,20.0,20.0,20,20,9814.83714358991,70.23371906019747,6.505329525098205,85043.87451597955,0.6154651675485009,0.6666666666666666,0.1111111111111111,1.0,0.3638888888888889,0.4,0.0,0.6
extreme_vol,125.33333333333333,72.0,24,336,32.47222222222222,20.0,2,98,7.95258730278225,6.55978127705276,0.8465595326723534,23.079782457621818,7.82089947870868,6.489151481071376,0.8696315320016221,23.079782457621818,64.94444444444444,40.0,4,196,5.486069085953878,0.3369049811735749,0.011845268309116364,62.770644408650696,0.7473957580566015,0.6909814323607427,0.2222222222222222,1.0,0.0,0.0,0.0,0.0
high_vol,125.14285714285714,72.0,24,336,70.63392857142857,39.0,1,324,7.792400049361272,6.516095017148004,0.6904149296450407,23.30188272920616,7.631581027032697,6.467311411490098,0.7239071658132775,23.31394053828268,141.26785714285714,78.0,2,648,16.879080692478706,0.8878669666592032,0.005901671014726162,290.35191050125286,0.5487618342535207,0.5846153846153846,0.0,1.0,0.0,0.0,0.0,0.0
low_vol,125.33333333333333,72.0,24,336,65.75462962962963,32.0,1,369,8.290868620352303,6.937349156694127,0.7340264462193298,23.535941611397952,8.240677311279034,6.630309902330794,0.6954921175914675,23.535941611397952,131.50925925925927,64.0,2,738,8.891112654055986,0.6332890456542373,0.0059733521193265915,195.07250034064054,0.43873068862931214,0.4108823529411765,0.0,1.0,0.0,0.0,0.0,0.0
