mode,number_of_motifs_mean,number_of_motifs_median,number_of_motifs_min,number_of_motifs_max,recurrence_count_mean,recurrence_count_median,recurrence_count_min,recurrence_count_max,mean_motif_length_mean,mean_motif_length_median,mean_motif_length_min,mean_motif_length_max,median_motif_length_mean,median_motif_length_median,median_motif_length_min,median_motif_length_max,time_split_stability_mean,time_split_stability_median,time_split_stability_min,time_split_stability_max,cross_regime_overlap_mean,cross_regime_overlap_median,cross_regime_overlap_min,cross_regime_overlap_max
agnostic,4.5,4.5,4,5,48.0,48.0,25,71,44.997464788732394,44.997464788732394,22.154929577464788,67.84,41.0,41.0,23.0,59.0,0.8523166023166023,0.8523166023166023,0.7857142857142857,0.918918918918919,,,,
conditioned,5.0,5.0,5,5,501.4166666666667,436.0,122,1277,38.64959153123331,37.649057043849126,23.43579766536965,57.85549132947977,36.708333333333336,36.0,24.0,52.0,0.4574759530250798,0.40154925154401755,0.13024282560706402,0.8208955223880597,,,,
