asset,frequency,regime_method_hmm,regime_method_quantile,regime_label_hmm,regime_label_quantile,count
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_240,medium_vol,high_vol,26946
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_240,medium_vol,low_vol,11683
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_240,medium_vol,medium_vol,21414
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,extreme_vol,extreme_vol,1
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,high_vol,extreme_vol,15560
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,high_vol,high_vol,4437
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,high_vol,low_vol,909
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,high_vol,medium_vol,2309
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,low_vol,extreme_vol,8449
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,low_vol,high_vol,21187
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,low_vol,low_vol,39978
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,low_vol,medium_vol,28847
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,medium_vol,extreme_vol,28560
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,medium_vol,high_vol,26946
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,medium_vol,low_vol,11683
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,medium_vol,medium_vol,21414
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,extreme_vol,extreme_vol,1
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,high_vol,extreme_vol,15560
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,high_vol,high_vol,4437
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,high_vol,low_vol,909
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,high_vol,medium_vol,2309
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,low_vol,extreme_vol,8449
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,low_vol,high_vol,21187
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,low_vol,low_vol,39978
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,low_vol,medium_vol,28847
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,medium_vol,extreme_vol,28560
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,medium_vol,high_vol,26946
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,medium_vol,low_vol,11683
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,medium_vol,medium_vol,21414
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,extreme_vol,high_vol,1
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,high_vol,high_vol,290
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,high_vol,low_vol,134
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,low_vol,high_vol,312
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,low_vol,low_vol,533
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,medium_vol,high_vol,493
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,medium_vol,low_vol,429
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,extreme_vol,high_vol,1
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,high_vol,high_vol,290
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,high_vol,low_vol,134
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,low_vol,high_vol,312
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,low_vol,low_vol,533
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,medium_vol,high_vol,493
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,medium_vol,low_vol,429
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,extreme_vol,high_vol,1
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,high_vol,high_vol,290
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,high_vol,low_vol,134
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,low_vol,high_vol,312
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,low_vol,low_vol,533
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,medium_vol,high_vol,493
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,medium_vol,low_vol,429
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,extreme_vol,high_vol,1
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,high_vol,high_vol,233
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,high_vol,low_vol,80
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,high_vol,medium_vol,111
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,low_vol,high_vol,159
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,low_vol,low_vol,373
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,low_vol,medium_vol,313
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,medium_vol,high_vol,338
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,medium_vol,low_vol,278
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,medium_vol,medium_vol,306
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,extreme_vol,high_vol,1
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,high_vol,high_vol,233
