asset,frequency,hmm_method,quantile_method,observations,adjusted_rand_index,normalized_mutual_information,sklearn_available
ETHUSDT,15m,hmm_4_states,quantile_3_rolling_30,210280,0.09320577993933069,0.10464168942437675,True
ETHUSDT,15m,hmm_4_states,quantile_3_rolling_60,210280,0.09320577993933069,0.10464168942437675,True
ETHUSDT,15m,hmm_4_states,quantile_4_rolling_240,210280,0.08031782422427136,0.10297407913958773,True
ETHUSDT,15m,hmm_4_states,quantile_4_rolling_30,210280,0.08031782422427136,0.10297407913958773,True
ETHUSDT,15m,hmm_4_states,quantile_4_rolling_60,210280,0.08031782422427136,0.10297407913958773,True
ETHUSDT,1d,hmm_4_states,quantile_2_rolling_240,2192,0.030726003048016502,0.03573083387120204,True
ETHUSDT,1d,hmm_4_states,quantile_2_rolling_30,2192,0.030726003048016502,0.03573083387120204,True
ETHUSDT,1d,hmm_4_states,quantile_2_rolling_60,2192,0.030726003048016502,0.03573083387120204,True
ETHUSDT,1d,hmm_4_states,quantile_3_rolling_240,2192,0.03189728979840306,0.03979805100201885,True
ETHUSDT,1d,hmm_4_states,quantile_3_rolling_30,2192,0.03189728979840306,0.03979805100201885,True
ETHUSDT,1d,hmm_4_states,quantile_3_rolling_60,2192,0.03189728979840306,0.03979805100201885,True
ETHUSDT,1d,hmm_4_states,quantile_4_rolling_240,2192,0.03129509991954003,0.041159436654331395,True
ETHUSDT,1d,hmm_4_states,quantile_4_rolling_30,2192,0.03129509991954003,0.041159436654331395,True
ETHUSDT,1d,hmm_4_states,quantile_4_rolling_60,2192,0.03129509991954003,0.041159436654331395,True
ETHUSDT,1h,hmm_4_states,quantile_2_rolling_240,52577,0.07454332649086488,0.07674880604704547,True
ETHUSDT,1h,hmm_4_states,quantile_2_rolling_30,52577,0.07454332649086488,0.07674880604704547,True
ETHUSDT,1h,hmm_4_states,quantile_2_rolling_60,52577,0.07454332649086488,0.07674880604704547,True
ETHUSDT,1h,hmm_4_states,quantile_3_rolling_240,52577,0.07033844926384364,0.08143891609327197,True
ETHUSDT,1h,hmm_4_states,quantile_3_rolling_30,52577,0.07033844926384364,0.08143891609327197,True
ETHUSDT,1h,hmm_4_states,quantile_3_rolling_60,52577,0.07033844926384364,0.08143891609327197,True
ETHUSDT,1h,hmm_4_states,quantile_4_rolling_240,52577,0.06194918135003985,0.08022890637036557,True
ETHUSDT,1h,hmm_4_states,quantile_4_rolling_30,52577,0.06194918135003985,0.08022890637036557,True
ETHUSDT,1h,hmm_4_states,quantile_4_rolling_60,52577,0.06194918135003985,0.08022890637036557,True
ETHUSDT,1m,hmm_4_states,quantile_2_rolling_240,3154154,0.1456839483504822,0.15268703328649358,True
ETHUSDT,1m,hmm_4_states,quantile_2_rolling_30,3154154,0.1456839483504822,0.15268703328649358,True
ETHUSDT,1m,hmm_4_states,quantile_2_rolling_60,3154154,0.1456839483504822,0.15268703328649358,True
ETHUSDT,1m,hmm_4_states,quantile_3_rolling_240,3154154,0.136508763751965,0.16222559912360712,True
