window_length,window_length_mean,window_length_median,window_length_min,window_length_max,number_of_motifs_mean,number_of_motifs_median,number_of_motifs_min,number_of_motifs_max,mean_motif_distance_or_score_mean,mean_motif_distance_or_score_median,mean_motif_distance_or_score_min,mean_motif_distance_or_score_max,median_motif_distance_mean,median_motif_distance_median,median_motif_distance_min,median_motif_distance_max,recurrence_count_mean,recurrence_count_median,recurrence_count_min,recurrence_count_max,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,time_split_stability_mean,time_split_stability_median,time_split_stability_min,time_split_stability_max,cross_regime_overlap_mean,cross_regime_overlap_median,cross_regime_overlap_min,cross_regime_overlap_max
24,24.0,24.0,24,24,38.421052631578945,30.0,10,90,2.334209188442918,1.8608914608451823,0.13374114606870763,3.9284174537144687,2.3333104817226746,1.9010025391025,0.13757218321953607,4.00576006489908,76.84210526315789,60.0,20,180,70.1010902024389,0.5693042185157537,0.16062126494944096,5050.27217424009,0.6930828674249727,0.5,0.16666666666666666,1.0,0.017105263157894738,0.0,0.0,0.5
32,32.0,32.0,32,32,176.48076923076923,138.0,10,369,3.139842736788436,2.5185756266886616,0.11636271718228428,4.892154328787032,3.059112531388526,2.4591350295962426,0.11609393207670304,4.994937887124323,352.96153846153845,276.0,20,738,1080.3549458157295,3.2678390126675367,0.07450700737535954,82187.74314764887,0.44124451671383097,0.37254901960784315,0.1111111111111111,1.0,0.016666666666666666,0.0,0.0,0.6
48,48.0,48.0,48,48,32.953947368421055,24.0,10,81,4.369016875408033,3.913756657950389,0.3528377687777512,6.8501914993644055,4.275976110818974,4.054647196996532,0.34898048409644844,6.808014008345979,65.90789473684211,48.0,20,162,68.91805211668773,0.48952957475557923,0.13207485806196928,4985.327334608883,0.6430423743704623,0.6666666666666666,0.12,1.0,0.019078947368421056,0.0,0.0,0.6
64,64.0,64.0,64,64,128.23076923076923,104.0,5,266,5.295272233069251,4.3295565309867285,0.2723842644162373,8.496890041755933,5.1547552799998,4.083039444487558,0.2788101616513754,8.576167207354317,256.46153846153845,208.0,10,532,1078.979964641675,2.522771050222218,0.04410696029663086,83244.49830437079,0.40697714829532766,0.3855421686746988,0.13068181818181818,1.0,0.014743589743589743,0.0,0.0,0.6
72,72.0,72.0,72,72,25.019736842105264,17.0,10,61,5.835828071626771,5.134239633528333,0.6189442920052225,9.046014113892339,5.723465117078023,5.126490911832335,0.6369169546614222,8.962921405589595,50.03947368421053,34.0,20,122,69.19726798185883,0.40403482411056757,0.08367065154016018,5140.384017690085,0.589949827724516,0.6043478260869566,0.09523809523809523,1.0,0.018421052631578946,0.0,0.0,0.5
128,128.0,128.0,128,128,75.8974358974359,63.0,3,155,8.459643737098258,7.165136357713596,0.574665050246898,13.194132646680211,8.34811078574865,7.101197104521349,0.6080007019646666,13.187139989327461,151.7948717948718,126.0,6,310,1074.3891847744937,1.5633232535328716,0.02007374446839094,84879.6822705213,0.43406992277813966,0.4,0.08064516129032258,1.0,0.01730769230769231,0.0,0.0,0.6
168,168.0,168.0,168,168,11.06578947368421,8.0,4,24,10.352226902112184,8.504230208558695,1.6179515879510855,15.604959346936862,10.244426204530422,9.015844540490047,1.5911557891292696,15.810439445036364,22.13157894736842,16.0,8,48,66.741441170348,0.16832452360540628,0.02886647917330265,5058.4668301884085,0.5671332247473888,0.5,0.05555555555555555,1.0,0.023026315789473683,0.0,0.0,0.6
256,256.0,256.0,256,256,36.21153846153846,31.5,1,77,13.757870361491626,12.87831033547958,1.626003510823732,19.986844367922032,13.640790609476767,13.675392390721093,1.6320116745262871,19.986844367922032,72.42307692307692,63.0,2,154,1056.2893884273078,0.6472938167862594,0.005901671014726162,85043.87451597955,0.3981184134646953,0.38461538461538464,0.0,1.0,0.021153846153846155,0.0,0.0,0.6
336,336.0,336.0,336,336,4.1381578947368425,3.0,1,10,17.07294771878805,19.029455041779947,3.4691377576925944,23.535941611397952,17.011030334862244,18.96864826937444,3.568071165817856,23.535941611397952,8.276315789473685,6.0,2,20,66.71603642512837,0.05515723396092653,0.0059733521193265915,5177.5752903474495,0.6235667293233083,0.6666666666666666,0.0,1.0,0.023026315789473683,0.0,0.0,0.6
