asset,frequency,mode,regime_method,window_length,profile_type,runtime_seconds
ETHUSDT,1h,conditioned,quantile_3_rolling_60,72,multivariate,10.421244148164988
ETHUSDT,1h,conditioned,quantile_3_rolling_60,72,univariate,0.7766554122790694
ETHUSDT,1h,conditioned,quantile_3_rolling_60,168,multivariate,3.291905026882887
ETHUSDT,1h,conditioned,quantile_3_rolling_60,168,univariate,0.28154914639890194
ETHUSDT,1h,conditioned,quantile_3_rolling_60,336,multivariate,0.8487443448975682
ETHUSDT,1h,conditioned,quantile_3_rolling_60,336,univariate,0.08938751835376024
ETHUSDT,1h,conditioned,quantile_4_rolling_240,24,multivariate,14.560434808954597
ETHUSDT,1h,conditioned,quantile_4_rolling_240,24,univariate,1.159923654049635
ETHUSDT,1h,conditioned,quantile_4_rolling_240,48,multivariate,11.570869044400752
ETHUSDT,1h,conditioned,quantile_4_rolling_240,48,univariate,0.9364651096984744
ETHUSDT,1h,conditioned,quantile_4_rolling_240,72,multivariate,6.744626224972308
ETHUSDT,1h,conditioned,quantile_4_rolling_240,72,univariate,0.5989893721416593
ETHUSDT,1h,conditioned,quantile_4_rolling_240,168,multivariate,2.1650618612766266
ETHUSDT,1h,conditioned,quantile_4_rolling_240,168,univariate,0.2031679516658187
ETHUSDT,1h,conditioned,quantile_4_rolling_240,336,multivariate,0.5184236411005259
ETHUSDT,1h,conditioned,quantile_4_rolling_240,336,univariate,0.054367528297007084
ETHUSDT,1h,conditioned,quantile_4_rolling_30,24,multivariate,14.617772111669183
ETHUSDT,1h,conditioned,quantile_4_rolling_30,24,univariate,1.1591216921806335
ETHUSDT,1h,conditioned,quantile_4_rolling_30,48,multivariate,11.631490067578852
ETHUSDT,1h,conditioned,quantile_4_rolling_30,48,univariate,0.9096571728587151
ETHUSDT,1h,conditioned,quantile_4_rolling_30,72,multivariate,6.785167243331671
ETHUSDT,1h,conditioned,quantile_4_rolling_30,72,univariate,0.5991122601553798
ETHUSDT,1h,conditioned,quantile_4_rolling_30,168,multivariate,2.173118667677045
ETHUSDT,1h,conditioned,quantile_4_rolling_30,168,univariate,0.20340425614267588
ETHUSDT,1h,conditioned,quantile_4_rolling_30,336,multivariate,0.5184938041493297
ETHUSDT,1h,conditioned,quantile_4_rolling_30,336,univariate,0.05458392482250929
ETHUSDT,1h,conditioned,quantile_4_rolling_60,24,multivariate,14.4872413482517
ETHUSDT,1h,conditioned,quantile_4_rolling_60,24,univariate,1.16200041025877
ETHUSDT,1h,conditioned,quantile_4_rolling_60,48,multivariate,11.553792491555214
ETHUSDT,1h,conditioned,quantile_4_rolling_60,48,univariate,0.9067284148186445
ETHUSDT,1h,conditioned,quantile_4_rolling_60,72,multivariate,6.696473151445389
ETHUSDT,1h,conditioned,quantile_4_rolling_60,72,univariate,0.59701850079
ETHUSDT,1h,conditioned,quantile_4_rolling_60,168,multivariate,2.1662444546818733
ETHUSDT,1h,conditioned,quantile_4_rolling_60,168,univariate,0.20368968602269888
ETHUSDT,1h,conditioned,quantile_4_rolling_60,336,multivariate,0.5153821762651205
ETHUSDT,1h,conditioned,quantile_4_rolling_60,336,univariate,0.05481248442083597
