asset,frequency,mode,regime_method,window_length,profile_type,runtime_seconds
BTCUSDT,15m,conditioned,quantile_4_rolling_30,64,multivariate,73.1938905022107
BTCUSDT,15m,conditioned,quantile_4_rolling_30,64,univariate,3.9278224143199623
BTCUSDT,15m,conditioned,quantile_4_rolling_30,128,multivariate,49.390410874504596
BTCUSDT,15m,conditioned,quantile_4_rolling_30,128,univariate,2.571770079433918
BTCUSDT,15m,conditioned,quantile_4_rolling_30,256,multivariate,21.363120783120394
BTCUSDT,15m,conditioned,quantile_4_rolling_30,256,univariate,1.1747893863357604
BTCUSDT,15m,conditioned,quantile_4_rolling_60,32,multivariate,88.15932323038578
BTCUSDT,15m,conditioned,quantile_4_rolling_60,32,univariate,4.996869289781898
BTCUSDT,15m,conditioned,quantile_4_rolling_60,64,multivariate,73.06944616837427
BTCUSDT,15m,conditioned,quantile_4_rolling_60,64,univariate,3.9445340344682336
BTCUSDT,15m,conditioned,quantile_4_rolling_60,128,multivariate,49.023122740443796
BTCUSDT,15m,conditioned,quantile_4_rolling_60,128,univariate,2.5785862943157554
BTCUSDT,15m,conditioned,quantile_4_rolling_60,256,multivariate,21.470733692403883
BTCUSDT,15m,conditioned,quantile_4_rolling_60,256,univariate,1.1859833453781903
BTCUSDT,1h,agnostic,none,24,multivariate,5050.27217424009
BTCUSDT,1h,agnostic,none,24,univariate,24.3036882346496
BTCUSDT,1h,agnostic,none,48,multivariate,4985.327334608883
BTCUSDT,1h,agnostic,none,48,univariate,20.517228874377906
BTCUSDT,1h,agnostic,none,72,multivariate,5140.384017690085
BTCUSDT,1h,agnostic,none,72,univariate,21.17636565119028
BTCUSDT,1h,agnostic,none,168,multivariate,5058.4668301884085
BTCUSDT,1h,agnostic,none,168,univariate,22.582700112834573
BTCUSDT,1h,agnostic,none,336,multivariate,5177.5752903474495
BTCUSDT,1h,agnostic,none,336,univariate,23.64317906089127
BTCUSDT,1h,conditioned,quantile_2_rolling_240,24,multivariate,75.25991078466177
BTCUSDT,1h,conditioned,quantile_2_rolling_240,24,univariate,4.279768085107207
BTCUSDT,1h,conditioned,quantile_2_rolling_240,48,multivariate,69.01254486152902
BTCUSDT,1h,conditioned,quantile_2_rolling_240,48,univariate,3.7907097465358675
BTCUSDT,1h,conditioned,quantile_2_rolling_240,72,multivariate,58.45450242143124
BTCUSDT,1h,conditioned,quantile_2_rolling_240,72,univariate,3.163023966830224
BTCUSDT,1h,conditioned,quantile_2_rolling_240,168,multivariate,33.13559890957549
BTCUSDT,1h,conditioned,quantile_2_rolling_240,168,univariate,1.652058712206781
BTCUSDT,1h,conditioned,quantile_2_rolling_240,336,multivariate,13.533115529920906
BTCUSDT,1h,conditioned,quantile_2_rolling_240,336,univariate,0.6443565422669053
BTCUSDT,1h,conditioned,quantile_2_rolling_30,24,multivariate,75.19136431161314
BTCUSDT,1h,conditioned,quantile_2_rolling_30,24,univariate,5.535748009569943
BTCUSDT,1h,conditioned,quantile_2_rolling_30,48,multivariate,68.92292722966522
BTCUSDT,1h,conditioned,quantile_2_rolling_30,48,univariate,3.786974372342229
BTCUSDT,1h,conditioned,quantile_2_rolling_30,72,multivariate,58.353576962370425
BTCUSDT,1h,conditioned,quantile_2_rolling_30,72,univariate,3.7651804257184267
BTCUSDT,1h,conditioned,quantile_2_rolling_30,168,multivariate,32.98057738225907
BTCUSDT,1h,conditioned,quantile_2_rolling_30,168,univariate,1.6490766620263457
BTCUSDT,1h,conditioned,quantile_2_rolling_30,336,multivariate,13.488825034815818
BTCUSDT,1h,conditioned,quantile_2_rolling_30,336,univariate,0.6447166865691543
BTCUSDT,1h,conditioned,quantile_2_rolling_60,24,multivariate,75.3006737260148
BTCUSDT,1h,conditioned,quantile_2_rolling_60,24,univariate,4.246409023180604
BTCUSDT,1h,conditioned,quantile_2_rolling_60,48,multivariate,68.70950016239658
BTCUSDT,1h,conditioned,quantile_2_rolling_60,48,univariate,3.7863988606259227
BTCUSDT,1h,conditioned,quantile_2_rolling_60,72,multivariate,58.46457660431042
BTCUSDT,1h,conditioned,quantile_2_rolling_60,72,univariate,3.145517169497907
BTCUSDT,1h,conditioned,quantile_2_rolling_60,168,multivariate,33.217614985536784
BTCUSDT,1h,conditioned,quantile_2_rolling_60,168,univariate,1.6415427890606225
BTCUSDT,1h,conditioned,quantile_2_rolling_60,336,multivariate,13.51709360582754
BTCUSDT,1h,conditioned,quantile_2_rolling_60,336,univariate,0.6415243078954518
BTCUSDT,1h,conditioned,quantile_3_rolling_240,24,multivariate,27.722018668428063
BTCUSDT,1h,conditioned,quantile_3_rolling_240,24,univariate,1.7413607612252235
BTCUSDT,1h,conditioned,quantile_3_rolling_240,48,multivariate,25.181675091851503
BTCUSDT,1h,conditioned,quantile_3_rolling_240,48,univariate,1.66894999332726
BTCUSDT,1h,conditioned,quantile_3_rolling_240,72,multivariate,21.55030533950776
BTCUSDT,1h,conditioned,quantile_3_rolling_240,72,univariate,1.2596057369373739
BTCUSDT,1h,conditioned,quantile_3_rolling_240,168,multivariate,8.655112253502011
BTCUSDT,1h,conditioned,quantile_3_rolling_240,168,univariate,0.5286638597026467
BTCUSDT,1h,conditioned,quantile_3_rolling_240,336,multivariate,2.633413157425821
BTCUSDT,1h,conditioned,quantile_3_rolling_240,336,univariate,0.18622721312567592
BTCUSDT,1h,conditioned,quantile_3_rolling_30,24,multivariate,27.712289937771857
BTCUSDT,1h,conditioned,quantile_3_rolling_30,24,univariate,1.7239147564396262
BTCUSDT,1h,conditioned,quantile_3_rolling_30,48,multivariate,25.162089203018695
BTCUSDT,1h,conditioned,quantile_3_rolling_30,48,univariate,1.5202342630364
BTCUSDT,1h,conditioned,quantile_3_rolling_30,72,multivariate,21.570948365610093
BTCUSDT,1h,conditioned,quantile_3_rolling_30,72,univariate,1.2570632616989315
BTCUSDT,1h,conditioned,quantile_3_rolling_30,168,multivariate,8.704460167326033
BTCUSDT,1h,conditioned,quantile_3_rolling_30,168,univariate,0.5327785452827811
BTCUSDT,1h,conditioned,quantile_3_rolling_30,336,multivariate,2.630547409877181
BTCUSDT,1h,conditioned,quantile_3_rolling_30,336,univariate,0.18557257624343038
BTCUSDT,1h,conditioned,quantile_3_rolling_60,24,multivariate,27.73454547394067
BTCUSDT,1h,conditioned,quantile_3_rolling_60,24,univariate,1.7479039262980223
BTCUSDT,1h,conditioned,quantile_3_rolling_60,48,multivariate,25.26979829976335
BTCUSDT,1h,conditioned,quantile_3_rolling_60,48,univariate,1.535093660466373
BTCUSDT,1h,conditioned,quantile_3_rolling_60,72,multivariate,21.599864915478975
BTCUSDT,1h,conditioned,quantile_3_rolling_60,72,univariate,1.260357037652284
BTCUSDT,1h,conditioned,quantile_3_rolling_60,168,multivariate,8.681189324706793
BTCUSDT,1h,conditioned,quantile_3_rolling_60,168,univariate,0.5359848984517157
BTCUSDT,1h,conditioned,quantile_3_rolling_60,336,multivariate,2.6314340215176344
BTCUSDT,1h,conditioned,quantile_3_rolling_60,336,univariate,0.18889862950891256
BTCUSDT,1h,conditioned,quantile_4_rolling_240,24,multivariate,17.886565872468054
BTCUSDT,1h,conditioned,quantile_4_rolling_240,24,univariate,1.2845733994618058
BTCUSDT,1h,conditioned,quantile_4_rolling_240,48,multivariate,15.719955692067742
BTCUSDT,1h,conditioned,quantile_4_rolling_240,48,univariate,1.1194459279067814
BTCUSDT,1h,conditioned,quantile_4_rolling_240,72,multivariate,11.642281934153289
BTCUSDT,1h,conditioned,quantile_4_rolling_240,72,univariate,0.7872436414472759
BTCUSDT,1h,conditioned,quantile_4_rolling_240,168,multivariate,3.5594489984214306
