asset,frequency,method,mode,regime_method,regime_label,l_min,l_max,rho,number_of_motifs,mean_motif_distance_or_score,recurrence_count,mean_motif_length,median_motif_length,runtime_seconds,time_split_stability,cross_regime_overlap,notes
BTCUSDT,15m,locomotif,conditioned,quantile_3_rolling_60,low_vol,48,168,0.65,5,,235,53.93191489361702,50.0,37.682125532999635,0.4329268292682927,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_240,extreme_vol,24,72,0.65,5,,380,24.378947368421052,24.0,69.5358007978648,0.6239316239316239,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_240,extreme_vol,48,168,0.65,5,,173,57.85549132947977,52.0,29.48660507053137,0.73,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_240,low_vol,24,72,0.65,5,,257,23.43579766536965,24.0,40.240525781176984,0.7724137931034483,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_240,low_vol,48,168,0.65,5,,122,49.91803278688525,48.0,17.985764016397297,0.8208955223880597,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_30,extreme_vol,24,72,0.65,5,,380,24.378947368421052,24.0,69.97424402460456,0.6239316239316239,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_30,extreme_vol,48,168,0.65,5,,173,57.85549132947977,52.0,29.459331481717527,0.73,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_30,low_vol,24,72,0.65,5,,257,23.43579766536965,24.0,40.30968323163688,0.7724137931034483,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_30,low_vol,48,168,0.65,5,,122,49.91803278688525,48.0,17.821962342597544,0.8208955223880597,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_60,extreme_vol,24,72,0.65,5,,380,24.378947368421052,24.0,70.04918971564621,0.6239316239316239,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_60,extreme_vol,48,168,0.65,5,,173,57.85549132947977,52.0,29.51375319994986,0.73,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_60,low_vol,24,72,0.65,5,,257,23.43579766536965,24.0,40.237250378355384,0.7724137931034483,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_4_rolling_60,low_vol,48,168,0.65,5,,122,49.91803278688525,48.0,17.867257358506322,0.8208955223880597,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
